,kms11/cfz,kms34/cfz,kms11,kms34
7102,5.625361009666666,5.435275978333333,5.572900745999999,5.246514108666667
7103,4.8472231536666675,4.767232576666666,4.675632502666667,4.858402431333333
7104,4.838587851333333,4.9332804789999996,4.832389891666668,4.892275520666667
7105,5.839208265000001,6.0238441153333335,5.655442344333333,6.133612133
7106,4.908250540333333,4.901117785666666,5.248033396333334,4.603551674
7107,5.979853930333333,5.966891830000001,6.063481068333332,6.0343898786666665
7108,5.863712989,5.8088979400000005,5.6210983940000006,5.894320732
7109,4.781499396,5.085730423,4.911529156,4.835042364333333
7110,4.969746642333334,5.270876653,4.791382980666667,5.081334711999999
7111,6.1717199753333345,7.884479196666667,6.498908750000001,8.213263752333335
7112,4.799722081,5.038835064666666,4.939634537666667,4.943585082666667
7113,3.7841492356666664,3.7271976013333337,3.659025606,3.7568576903333333
7114,6.6176866683333335,6.426208527666667,6.536633707333333,6.503069683
7115,5.987777939000001,6.518608109666666,5.849459219666667,6.3944648803333335
7116,4.307604165333333,4.279623242666666,4.344465759333333,4.297976770999999
7117,4.716415708666666,4.4419978633333335,5.079876014333333,4.697432215333333
7118,5.3467576396666665,5.136923306,5.289206000333333,5.209247138333333
7119,7.327536904,7.275499115,7.193863924666666,7.334682355999999
7120,6.250774161333333,6.155904901666666,6.201327405333333,6.249698842
7121,6.400806379,6.389525345666667,6.268141907666667,6.256854652333334
7122,3.6108044753333335,3.7972316949999994,3.755281625333333,3.6319460823333336
7123,6.555160678333333,6.548544082666666,6.554128529000001,6.758078618333333
7124,4.559058683,4.316286211,4.681101677333333,4.286519674666667
7125,4.208777332666667,4.114178915666667,4.108382324,4.248849835666667
7126,4.44988216,4.375483725,4.4511771866666665,4.594183729666667
7127,3.5249064753333332,3.5381700973333334,3.5496159229999997,3.5391491179999996
7128,5.635137089,5.272294018,5.3643059850000006,5.481162480999999
7129,4.380385360666666,4.845209938666666,4.375182578333333,4.6892216043333335
7130,7.1051911956666665,7.133275749666666,7.156957229666666,7.085472620333333
7131,5.756505821,5.706765126666667,5.6213045866666675,5.673865455666667
7132,4.168686189333333,4.132967961,4.046490802666667,4.182485165666667
7133,4.730289089999999,4.659962831333334,4.625193552,4.715783791333333
7134,5.983077831333333,5.8196309956666665,5.830489120333333,5.837349603
7135,4.806976259333333,4.796126397999999,4.898757789666667,4.6936212846666665
7136,5.922519365333333,6.098546583000001,5.997275634,6.047341994333334
7137,6.740846363,6.764193424666666,6.783875759,6.817619025333333
7138,4.6142992320000005,4.509658027666667,4.574626702333333,4.6771443989999995
7139,4.071614891333334,4.0260404623333335,4.074462069333333,4.107803490666667
7140,4.895589255333333,5.070499138,4.943718778333333,4.931923902666667
7141,4.186340044666667,4.1765443673333325,4.313872566333333,4.373341821666667
7142,5.811732737,5.879700727666666,5.911681608333333,5.917882902666666
7143,7.392352563999999,7.1590507096666665,7.336779158333333,7.266231693999999
7144,4.916775052999999,4.915991411666667,4.909065377,4.869467813
7145,3.5455067513333334,3.524722123666667,3.6735588316666665,3.503791751666667
7146,3.849417019666667,3.874645624,3.8085080146666663,3.8148725986666663
7147,10.03881522,10.437295196666668,10.054470254666667,10.515393733333333
7148,5.825450217666667,5.9307469096666665,5.895071687666667,5.9406741766666675
7149,7.295732129666667,7.149680569333334,7.092263851000001,7.001393698333334
7150,4.641451717,4.622924270666666,4.506607668,4.535633978333333
7151,4.619928385333334,4.960878142666666,4.639090422,4.877806018333334
7152,6.682076247666667,6.174105816,6.629984457666667,6.3252393583333335
7153,5.551587246333334,5.547941912333333,5.578257570333332,5.572776905333334
7154,3.513852338333333,3.510019193333333,3.6317951589999997,3.646749758
7155,4.628054722,4.844157596666666,4.744209762,4.827271867666667
7156,3.8282483146666664,3.863829064666666,3.8746315703333334,4.004452412666667
7157,4.286275216333333,4.250922848666667,4.418986081,4.334106182
7158,3.6844457543333333,3.5238069673333334,3.54649904,3.5542263446666666
7159,4.607968354,4.410948547,4.474073705666666,4.548897068666666
7160,3.4296677233333335,3.469033796666667,3.364178067333333,3.4279102266666666
7161,4.42837709,4.2914482236666665,4.250173551,4.536740917
7162,5.320567892333333,5.2527320390000005,5.344185988666666,5.549685816
7163,4.49699926,4.424945382,4.410195466333334,4.437334562
7164,6.691677199333334,6.794583817333333,6.7778246,6.7573934410000005
7165,4.420271744,4.608898942,4.3619270163333335,4.666468852
7166,4.425864422333333,4.38711537,4.437299560333333,4.368892656
7167,6.257062840333333,6.460943410666668,6.385009365666666,6.193398232666667
7168,3.823457077,3.7589341873333333,3.7886782676666666,3.90049689
7169,3.6248153523333335,3.4758421330000004,3.597984076333333,3.512494836666667
7170,5.474400189333333,5.288647444,5.378701786000001,5.436263692000001
7171,4.1820628656666665,4.149807134666667,4.192251579666666,4.369328942666667
7172,4.7497852709999995,4.612607239,4.873613472333333,4.909362103
7173,5.331261054666666,6.351664654333334,5.455810622666667,6.168197472
7174,4.406641977666666,4.490754706333334,4.512292720333334,4.530236329
7175,5.702226193,5.976238448666667,5.725524315,6.1893937910000005
7176,4.252183738666666,4.208040856333334,4.177466817,4.259153707333333
7177,3.964335974333333,3.8361270733333335,3.839746312666667,4.055479516333333
7178,4.400291421333333,4.317074398333333,4.355517828666667,4.4162537649999996
7179,6.615698421,6.151297309,6.496489115666666,6.507546596666667
7180,4.755031029333334,4.869855229666666,4.807637343,4.829803880333333
7181,3.845157005333333,3.7236104149999996,3.8068155889999997,3.7714621630000003
7182,3.9760384956666663,3.8544094999999996,3.9721261533333334,3.9452387970000005
7183,4.137973331333334,3.9884291949999997,4.095197228666667,4.1476541209999995
7184,5.43387584,5.567281539333334,5.578087714666666,5.543425091333333
7185,3.6919969756666666,3.6017453849999996,3.624973895666667,3.596109777666667
7186,3.5639950270000003,3.5078165243333337,3.558181861,3.53184271
7187,4.782260710666667,4.796770465333334,4.815395864666667,4.90751691
7188,5.607097156666668,5.671020187666667,5.590703236666666,5.708981328
7189,7.004309162999999,6.962942594333334,6.846647721333333,6.9193567813333345
7190,6.931870255,6.57381603,6.799999757333333,6.686682775
7191,5.263073060333333,5.022253215666667,5.234591963,5.166673601333333
7192,5.9036857330000005,4.489140821333333,5.787210756666667,4.740411774666666
7193,4.0122829216666664,4.109645823666667,3.962074485,3.9392678206666667
7194,7.152659995333334,7.068365114666666,7.141948151,7.153412576333333
